2
	VALUE ALL : ( Cost : 347.013 , TRT : 590.998 , TWT : 250.086 , TD : 473.927 )
	VIOLATIONS TOTAL : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
 	COUT_ALL : (   0.000 )  T2B:   55201

	16 sommets 
	values : ( Cost : 118.894 , TRT : 121.394 , TWT :   0.000 , TD : 191.559 )
	violations : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
  15 	 (   5 ,  262.000 ,  458.981 ,        0 ,  392.136 ,  392.136 ,    0.000 ,  392.136 ,  394.136 ,    0.000 ,   36.898 ,    0.000 ,    0.967 ,       12 , 	)
  26 	 (   2 ,  389.000 ,  449.000 ,        0 ,  397.474 ,  397.474 ,    0.000 ,  397.474 ,  400.474 ,   39.102 ,    8.970 ,    0.000 ,    5.011 ,       13 , 	)
  32 	 (   0 ,  291.000 ,  471.000 ,        0 ,  412.166 ,  412.166 ,    0.000 ,  412.166 ,  414.166 ,   18.030 ,    8.970 ,    0.000 ,    2.362 ,       14 , 	)
  35 	 (   0 ,    0.000 , 1440.000 ,        0 ,  415.997 ,  415.997 ,    0.000 ,  415.997 ,  415.997 ,    0.000 , 1024.003 ,    0.000 ,    0.000 ,       15 , 	)

	22 sommets 
	values : ( Cost : 228.119 , TRT : 469.604 , TWT : 250.086 , TD : 282.368 )
	violations : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
	cout global : (   0.000	 )
S(i)	 (   C ,     TW0 ,       TW1 ,       VTW ,       Min ,       A ,       W ,       B ,       D ,       L ,       F ,       E ,       Det ,       [Imp ,       Imp]	)
   0 	 (   0 ,    0.000 , 1440.000 ,        0 ,    0.000 ,  645.422 ,    0.000 ,  645.422 ,  645.422 ,    0.000 ,    0.000 ,  645.422 ,    0.000 ,        0 , 	)
   4 	 (   4 ,  480.000 ,  660.000 ,        0 ,   14.578 ,  660.000 ,    0.000 ,  660.000 ,  664.000 ,    0.000 ,    0.000 ,  180.000 ,    9.626 ,        1 , 	)
   8 	 (   6 ,  494.000 ,  712.080 ,        0 ,  488.964 ,  668.964 ,   16.450 ,  685.414 ,  687.414 ,    0.000 ,    0.000 ,  191.414 ,   -5.206 ,        2 , 	)
  21 	 (   2 ,  512.408 ,  740.000 ,        0 ,  514.238 ,  705.651 ,    0.000 ,  705.651 ,  709.651 ,   41.651 ,    0.000 ,  191.414 ,   -2.360 ,        3 , 	)
  25 	 (   0 ,  557.000 ,  737.000 ,        0 ,  520.560 ,  711.974 ,    0.000 ,  711.974 ,  713.974 ,   24.560 ,    0.000 ,  154.974 ,    5.011 ,        4 , 	)
  14 	 (   4 ,  480.000 ,  720.000 ,        0 ,  565.026 ,  720.000 ,    0.000 ,  720.000 ,  724.000 ,    0.000 ,    0.000 ,  154.974 ,    3.050 ,        5 , 	)
  31 	 (   0 ,  511.000 ,  751.000 ,        0 ,  582.598 ,  737.572 ,    0.000 ,  737.572 ,  741.572 ,   13.572 ,   13.428 ,  154.974 ,    1.910 ,        6 , 	)
   3 	 (   2 ,  780.000 ,  960.000 ,        0 ,  591.616 ,  746.589 ,  107.973 ,  854.562 ,  856.562 ,    0.000 ,    0.000 ,   74.562 ,    0.000 ,        7 , 	)
   2 	 (   3 ,  780.000 ,  960.000 ,        0 ,  782.000 ,  856.562 ,    0.000 ,  856.562 ,  857.562 ,    0.000 ,    0.000 ,   74.562 ,    0.000 ,        8 , 	)
  12 	 (   4 ,  741.000 ,  941.853 ,        0 ,  797.185 ,  871.747 ,    0.000 ,  871.747 ,  872.747 ,    0.000 ,    0.000 ,   74.562 ,    1.120 ,        9 , 	)
   6 	 (   5 ,  760.000 ,  927.592 ,        0 ,  803.357 ,  877.920 ,    0.000 ,  877.920 ,  878.920 ,    0.000 ,    0.000 ,   74.562 ,   -0.714 ,       10 , 	)
  10 	 (   8 ,  734.000 ,  892.209 ,        0 ,  806.680 ,  881.242 ,    0.000 ,  881.242 ,  884.242 ,    0.000 ,    0.000 ,   74.562 ,    0.000 ,       11 , 	)
  20 	 (   6 ,  827.000 , 1007.000 ,        0 ,  809.680 ,  884.242 ,    0.000 ,  884.242 ,  886.242 ,   27.680 ,    0.000 ,   57.242 ,    0.000 ,       12 , 	)
  19 	 (   5 ,  826.000 , 1006.000 ,        0 ,  829.000 ,  886.242 ,    0.000 ,  886.242 ,  887.242 ,   28.680 ,    0.000 ,   57.242 ,    0.000 ,       13 , 	)
  29 	 (   4 ,  775.000 ,  955.000 ,        0 ,  848.317 ,  905.559 ,    0.000 ,  905.559 ,  906.559 ,   32.811 ,    0.000 ,   57.242 ,   -1.748 ,       14 , 	)
  23 	 (   3 ,  837.000 ,  957.000 ,        0 ,  856.086 ,  913.328 ,    0.000 ,  913.328 ,  914.328 ,   34.408 ,    0.000 ,   57.242 ,    3.397 ,       15 , 	)
  27 	 (   0 ,  798.000 ,  918.000 ,        0 ,  860.758 ,  918.000 ,    0.000 ,  918.000 ,  921.000 ,   33.758 ,    0.000 ,   57.242 ,   -1.119 ,       16 , 	)
  13 	 (   2 ,  979.000 , 1183.030 ,        0 ,  872.956 ,  930.198 ,  125.663 , 1055.862 , 1057.862 ,    0.000 ,   60.000 ,   76.862 ,   16.479 ,       17 , 	)
   1 	 (   6 , 1034.000 , 1132.080 ,        0 ,  990.327 , 1067.189 ,    0.000 , 1067.189 , 1071.189 ,    0.000 ,   20.563 ,   33.189 ,   -0.533 ,       18 , 	)
  30 	 (   4 , 1019.000 , 1199.000 ,        0 , 1042.110 , 1075.298 ,    0.000 , 1075.298 , 1077.298 ,   17.437 ,   20.563 ,   33.189 ,    2.891 ,       19 , 	)
  18 	 (   0 , 1099.000 , 1159.000 ,        0 , 1065.811 , 1099.000 ,    0.000 , 1099.000 , 1103.000 ,   27.811 ,   33.189 ,    0.000 ,   19.168 ,       20 , 	)
  35 	 (   0 ,    0.000 , 1440.000 ,        0 , 1115.026 , 1115.026 ,    0.000 , 1115.026 , 1115.026 ,    0.000 ,  324.974 ,   -0.000 ,    0.000 ,       21 , 	)
