2
	VALUE ALL : ( Cost : 418.763 , TRT : 568.202 , TWT : 177.343 , TD : 689.589 )
	VIOLATIONS TOTAL : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
 	COUT_ALL : (   0.000 )  T2B:   55801

	22 sommets 
	values : ( Cost : 223.717 , TRT : 342.832 , TWT : 134.623 , TD : 280.601 )
	violations : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
  21 	 (   0 ,  809.000 , 1049.000 ,        0 ,  941.195 ,  957.000 ,    0.000 ,  957.000 ,  960.000 ,   37.071 ,    0.000 ,   15.805 ,    0.000 ,       12 , 	)
  20 	 (   1 ,  900.000 ,  960.000 ,        0 ,  944.195 ,  960.000 ,    0.000 ,  960.000 ,  961.000 ,    0.000 ,    0.000 ,   15.805 ,    0.000 ,       13 , 	)
  15 	 (   2 ,  960.000 , 1200.000 ,        0 ,  954.629 ,  970.435 ,   22.110 ,  992.544 ,  993.544 ,    0.000 ,    0.000 ,   32.544 ,    1.386 ,       14 , 	)
  40 	 (   1 ,  915.504 , 1000.000 ,        0 ,  967.456 , 1000.000 ,    0.000 , 1000.000 , 1001.000 ,   39.000 ,    0.000 ,   32.544 ,    0.987 ,       15 , 	)
  35 	 (   0 ,  985.000 , 1225.000 ,        0 ,  975.097 , 1007.641 ,    0.000 , 1007.641 , 1008.641 ,   14.097 ,   18.903 ,   22.641 ,    2.349 ,       16 , 	)
  13 	 (   1 ,  960.000 , 1200.000 ,        0 ,  989.750 , 1012.391 ,  112.514 , 1124.905 , 1125.905 ,    0.000 ,   60.000 ,  135.155 ,    3.098 ,       17 , 	)
   3 	 (   2 , 1140.000 , 1200.000 ,        0 , 1004.845 , 1140.000 ,    0.000 , 1140.000 , 1141.000 ,    0.000 ,   33.217 ,    0.000 ,   10.127 ,       18 , 	)
  33 	 (   1 , 1013.000 , 1253.000 ,        0 , 1163.687 , 1163.687 ,    0.000 , 1163.687 , 1164.687 ,   37.783 ,   33.217 ,   -0.000 ,    0.000 ,       19 , 	)
  23 	 (   0 , 1163.687 , 1262.000 ,        0 , 1164.687 , 1164.687 ,    0.000 , 1164.687 , 1165.687 ,   23.687 ,   37.313 ,   -0.000 ,    0.000 ,       20 , 	)
  41 	 (   0 ,    0.000 , 1440.000 ,        0 , 1181.071 , 1181.071 ,    0.000 , 1181.071 , 1181.071 ,    0.000 ,  258.929 ,   -0.000 ,    0.000 ,       21 , 	)

	22 sommets 
	values : ( Cost : 195.046 , TRT : 225.371 , TWT :  42.720 , TD : 408.988 )
	violations : ( VC :       0 , VTW :   0.000 , VTD :   0.000 , VTRT :   0.000 )
	cout global : (   0.000	 )
S(i)	 (   C ,     TW0 ,       TW1 ,       VTW ,       Min ,       A ,       W ,       B ,       D ,       L ,       F ,       E ,       Det ,       [Imp ,       Imp]	)
   0 	 (   0 ,    0.000 , 1440.000 ,        0 ,    0.000 ,  351.404 ,    0.000 ,  351.404 ,  351.404 ,    0.000 ,    0.000 ,  351.404 ,    0.000 ,        0 , 	)
  10 	 (   4 ,  298.000 ,  427.180 ,        0 ,    6.655 ,  358.059 ,    0.000 ,  358.059 ,  362.059 ,    0.000 ,    0.000 ,   60.059 ,    0.948 ,        1 , 	)
   4 	 (   6 ,  253.000 ,  473.808 ,        0 ,  305.895 ,  365.953 ,    0.000 ,  365.953 ,  367.953 ,    0.000 ,    0.000 ,   60.059 ,    5.268 ,        2 , 	)
  24 	 (   4 ,  320.000 ,  500.000 ,        0 ,  332.087 ,  392.146 ,    0.000 ,  392.146 ,  394.146 ,   24.192 ,    0.000 ,   60.059 ,    0.000 ,        3 , 	)
  30 	 (   0 ,  394.000 ,  454.000 ,        0 ,  334.087 ,  394.146 ,    0.000 ,  394.146 ,  398.146 ,   32.087 ,    0.000 ,    0.146 ,    0.000 ,        4 , 	)
   5 	 (   2 ,  240.000 ,  480.000 ,        0 ,  409.347 ,  409.492 ,    0.000 ,  409.492 ,  411.492 ,    0.000 ,    0.000 ,    0.146 ,   -2.965 ,        5 , 	)
  17 	 (   5 ,  240.000 ,  420.000 ,        0 ,  419.854 ,  420.000 ,    0.000 ,  420.000 ,  423.000 ,    0.000 ,    0.000 ,    0.146 ,   -1.341 ,        6 , 	)
   9 	 (   6 ,  240.000 ,  480.000 ,        0 ,  426.872 ,  427.018 ,   15.115 ,  442.133 ,  443.133 ,    0.000 ,    0.000 ,   15.261 ,    4.824 ,        7 , 	)
  25 	 (   4 ,  268.000 ,  508.000 ,        0 ,  436.232 ,  451.492 ,    0.000 ,  451.492 ,  453.492 ,   40.000 ,    0.000 ,   15.261 ,    0.498 ,        8 , 	)
  14 	 (   6 ,  240.000 ,  480.000 ,        0 ,  446.210 ,  461.471 ,   13.875 ,  475.346 ,  477.346 ,    0.000 ,    0.000 ,   29.136 ,    1.343 ,        9 , 	)
   8 	 (   7 ,  240.000 ,  480.000 ,        0 ,  450.864 ,  480.000 ,    0.000 ,  480.000 ,  481.000 ,    0.000 ,    0.000 ,   29.136 ,    0.000 ,       10 , 	)
  11 	 (   8 ,  480.000 ,  720.000 ,        0 ,  451.864 ,  481.000 ,    7.862 ,  488.862 ,  489.862 ,    0.000 ,    0.000 ,    8.862 ,    0.000 ,       11 , 	)
  29 	 (   7 ,  292.000 ,  532.000 ,        0 ,  504.271 ,  513.133 ,    0.000 ,  513.133 ,  514.133 ,   70.000 ,    0.000 ,    8.862 ,    0.000 ,       12 , 	)
  28 	 (   6 ,  286.000 ,  526.000 ,        0 ,  505.271 ,  514.133 ,    0.000 ,  514.133 ,  515.133 ,   33.133 ,    8.867 ,    8.862 ,    0.000 ,       13 , 	)
  37 	 (   3 ,  288.000 ,  528.000 ,        0 ,  506.271 ,  515.133 ,    0.000 ,  515.133 ,  518.133 ,   92.133 ,    8.867 ,    8.862 ,    0.000 ,       14 , 	)
  34 	 (   1 ,  287.000 ,  527.000 ,        0 ,  509.271 ,  518.133 ,    0.000 ,  518.133 ,  520.133 ,   40.787 ,    8.867 ,    8.862 ,    0.000 ,       15 , 	)
  31 	 (   0 ,  526.000 ,  766.000 ,        0 ,  511.271 ,  520.133 ,    5.867 ,  526.000 ,  527.000 ,   36.138 ,   25.862 ,    0.000 ,    0.000 ,       16 , 	)
  16 	 (   1 ,  480.000 ,  720.000 ,        0 ,  538.742 ,  538.742 ,    0.000 ,  538.742 ,  539.742 ,    0.000 ,  164.042 ,    0.000 ,    4.687 ,       17 , 	)
   6 	 (   2 ,  540.000 ,  720.000 ,        0 ,  555.958 ,  555.958 ,    0.000 ,  555.958 ,  556.958 ,    0.000 ,    0.662 ,    0.000 ,   16.168 ,       18 , 	)
  36 	 (   1 ,  501.000 ,  741.000 ,        0 ,  567.080 ,  567.080 ,    0.000 ,  567.080 ,  568.080 ,   27.338 ,    0.662 ,    0.000 ,    0.670 ,       19 , 	)
  26 	 (   0 ,  563.000 ,  743.000 ,        0 ,  570.137 ,  570.137 ,    0.000 ,  570.137 ,  571.137 ,   13.179 ,   17.821 ,    0.000 ,    2.017 ,       20 , 	)
  41 	 (   0 ,    0.000 , 1440.000 ,        0 ,  576.774 ,  576.774 ,    0.000 ,  576.774 ,  576.774 ,    0.000 ,  863.226 ,    0.000 ,    0.000 ,       21 , 	)
